Heavy particle collisions / Elastic Scattering / H, H2
Differential cross sections
 
Validity limits and fit function with fit parameters


ID	Process	Reaction	Validity limits in sr	Energy origin	Limits in authors' unit	Fit function
1	EL	H, H2 (E= .100 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
2	EL	H, H2 (E= 1.00 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
3	EL	H, H2 (E= 1.25 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
4	EL	H, H2 (E= 1.58 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
5	EL	H, H2 (E= 1.99 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
6	EL	H, H2 (E= 2.51 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
7	EL	H, H2 (E= 3.16 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
8	EL	H, H2 (E= 3.98 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
9	EL	H, H2 (E= 5.01 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
10	EL	H, H2 (E= 6.30 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
11	EL	H, H2 (E= 7.94 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
12	EL	H, H2 (E= .125 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
13	EL	H, H2 (E= 10.0 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
14	EL	H, H2 (E= 19.9 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
15	EL	H, H2 (E= 50.1 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
16	EL	H, H2 (E= .158 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
17	EL	H, H2 (E= 100. eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
18	EL	H, H2 (E= .199 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
19	EL	H, H2 (E= .251 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
20	EL	H, H2 (E= .316 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
21	EL	H, H2 (E= .398 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
22	EL	H, H2 (E= .501 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
23	EL	H, H2 (E= .631 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
24	EL	H, H2 (E= .794 eV CM Energy) --> H, H2(P.S. Krstic et al)	7.6907e-06	3.1416e+00	CenterOfMass	7.6907e-06	3.1416e+00 in sr	Raw data, no fit parameter
Units conversion	Graphic layouts	Output options
x	Energy origin	y

sr

Projectile

cm2
cm2
vs
sr	PNG file
PDF file
GZipped PostScript file
XML
Numerical data
   1   	H, H2 (E= .100 eV CM Energy) --> H, H2

P.S. Krstic, D.R. Schultz
IAEA-APID-8 (1998)
User Units	Authors' Units
Angle in sr (CenterOfMass)	Cross section in cm2	Differential cross sections cm2 vs rd (CenterOfMass)
4.1833E-01	2.6625E-15	4.1833E-01	9.5078E+01
4.2271E-01	2.6704E-15	4.2271E-01	9.5363E+01
4.2710E-01	2.6758E-15	4.2710E-01	9.5556E+01
4.3151E-01	2.6774E-15	4.3151E-01	9.5611E+01
4.3594E-01	2.6741E-15	4.3594E-01	9.5494E+01
4.4039E-01	2.6657E-15	4.4039E-01	9.5193E+01
4.4486E-01	2.6523E-15	4.4486E-01	9.4715E+01
4.4934E-01	2.6348E-15	4.4934E-01	9.4091E+01
4.5385E-01	2.6146E-15	4.5385E-01	9.3368E+01
4.5837E-01	2.5932E-15	4.5837E-01	9.2603E+01
4.6292E-01	2.5722E-15	4.6292E-01	9.1856E+01
4.6748E-01	2.5533E-15	4.6748E-01	9.1178E+01
4.7206E-01	2.5374E-15	4.7206E-01	9.0613E+01
4.7666E-01	2.5255E-15	4.7666E-01	9.0187E+01
4.8127E-01	2.5177E-15	4.8127E-01	8.9909E+01
4.8591E-01	2.5140E-15	4.8591E-01	8.9778E+01
4.9056E-01	2.5140E-15	4.9056E-01	8.9776E+01
4.9523E-01	2.5169E-15	4.9523E-01	8.9880E+01
4.9992E-01	2.5219E-15	4.9992E-01	9.0060E+01
5.0463E-01	2.5281E-15	5.0463E-01	9.0281E+01
5.0935E-01	2.5345E-15	5.0935E-01	9.0508E+01
5.1409E-01	2.5399E-15	5.1409E-01	9.0703E+01
5.1885E-01	2.5435E-15	5.1885E-01	9.0829E+01
5.2363E-01	2.5442E-15	5.2363E-01	9.0854E+01
5.2843E-01	2.5413E-15	5.2843E-01	9.0753E+01
5.3324E-01	2.5345E-15	5.3324E-01	9.0508E+01
5.3807E-01	2.5234E-15	5.3807E-01	9.0112E+01
5.4292E-01	2.5083E-15	5.4292E-01	8.9572E+01
5.4778E-01	2.4896E-15	5.4778E-01	8.8905E+01
5.5266E-01	2.4680E-15	5.5266E-01	8.8135E+01
5.5756E-01	2.4445E-15	5.5756E-01	8.7296E+01
5.6248E-01	2.4201E-15	5.6248E-01	8.6422E+01
5.6741E-01	2.3956E-15	5.6741E-01	8.5549E+01
5.7236E-01	2.3722E-15	5.7236E-01	8.4714E+01
5.7732E-01	2.3508E-15	5.7732E-01	8.3950E+01
5.8230E-01	2.3323E-15	5.8230E-01	8.3287E+01
5.8730E-01	2.3173E-15	5.8730E-01	8.2751E+01
5.9232E-01	2.3064E-15	5.9232E-01	8.2363E+01
5.9735E-01	2.2999E-15	5.9735E-01	8.2132E+01
6.0240E-01	2.2978E-15	6.0240E-01	8.2058E+01
6.0746E-01	2.2997E-15	6.0746E-01	8.2123E+01
6.1254E-01	2.3047E-15	6.1254E-01	8.2301E+01
6.1764E-01	2.3117E-15	6.1764E-01	8.2551E+01
6.2275E-01	2.3194E-15	6.2275E-01	8.2828E+01
6.2788E-01	2.3266E-15	6.2788E-01	8.3083E+01
6.3302E-01	2.3319E-15	6.3302E-01	8.3273E+01
6.3818E-01	2.3344E-15	6.3818E-01	8.3363E+01
6.4336E-01	2.3335E-15	6.4336E-01	8.3329E+01
6.4854E-01	2.3287E-15	6.4854E-01	8.3159E+01
6.5375E-01	2.3201E-15	6.5375E-01	8.2851E+01
6.5897E-01	2.3077E-15	6.5897E-01	8.2409E+01
6.6421E-01	2.2919E-15	6.6421E-01	8.1846E+01
6.6946E-01	2.2732E-15	6.6946E-01	8.1179E+01
6.7473E-01	2.2523E-15	6.7473E-01	8.0430E+01
6.8001E-01	2.2298E-15	6.8001E-01	7.9628E+01
6.8530E-01	2.2068E-15	6.8530E-01	7.8806E+01
6.9061E-01	2.1842E-15	6.9061E-01	7.7998E+01
6.9594E-01	2.1630E-15	6.9594E-01	7.7241E+01
7.0128E-01	2.1440E-15	7.0128E-01	7.6563E+01
7.0664E-01	2.1278E-15	7.0664E-01	7.5985E+01
7.1201E-01	2.1145E-15	7.1201E-01	7.5510E+01
7.1739E-01	2.1038E-15	7.1739E-01	7.5128E+01
7.2279E-01	2.0951E-15	7.2279E-01	7.4818E+01
7.2820E-01	2.0875E-15	7.2820E-01	7.4546E+01
7.3363E-01	2.0800E-15	7.3363E-01	7.4278E+01
7.3907E-01	2.0717E-15	7.3907E-01	7.3980E+01
7.4452E-01	2.0618E-15	7.4452E-01	7.3627E+01
7.4999E-01	2.0497E-15	7.4999E-01	7.3197E+01
7.5547E-01	2.0352E-15	7.5547E-01	7.2679E+01
7.6097E-01	2.0180E-15	7.6097E-01	7.2065E+01
7.6648E-01	1.9980E-15	7.6648E-01	7.1351E+01
7.7200E-01	1.9752E-15	7.7200E-01	7.0537E+01
7.7753E-01	1.9498E-15	7.7753E-01	6.9629E+01
7.8308E-01	1.9220E-15	7.8308E-01	6.8637E+01
7.8864E-01	1.8925E-15	7.8864E-01	6.7581E+01
7.9422E-01	1.8619E-15	7.9422E-01	6.6488E+01
7.9981E-01	1.8311E-15	7.9981E-01	6.5391E+01
8.0541E-01	1.8012E-15	8.0541E-01	6.4323E+01
8.1102E-01	1.7731E-15	8.1102E-01	6.3317E+01
8.1665E-01	1.7472E-15	8.1665E-01	6.2394E+01
8.2229E-01	1.7239E-15	8.2229E-01	6.1563E+01
8.2794E-01	1.7032E-15	8.2794E-01	6.0822E+01
8.3360E-01	1.6845E-15	8.3360E-01	6.0155E+01
8.3928E-01	1.6673E-15	8.3928E-01	5.9539E+01
8.4497E-01	1.6507E-15	8.4497E-01	5.8946E+01
8.5067E-01	1.6338E-15	8.5067E-01	5.8346E+01
8.5638E-01	1.6161E-15	8.5638E-01	5.7711E+01
8.6211E-01	1.5966E-15	8.6211E-01	5.7015E+01
8.6784E-01	1.5748E-15	8.6784E-01	5.6236E+01
8.7359E-01	1.5502E-15	8.7359E-01	5.5357E+01
8.7935E-01	1.5224E-15	8.7935E-01	5.4365E+01
8.8512E-01	1.4913E-15	8.8512E-01	5.3255E+01
8.9091E-01	1.4569E-15	8.9091E-01	5.2029E+01
8.9670E-01	1.4197E-15	8.9670E-01	5.0699E+01
9.0251E-01	1.3802E-15	9.0251E-01	4.9288E+01
9.0832E-01	1.3392E-15	9.0832E-01	4.7825E+01
9.1415E-01	1.2977E-15	9.1415E-01	4.6342E+01
9.1999E-01	1.2566E-15	9.1999E-01	4.4875E+01
9.2584E-01	1.2169E-15	9.2584E-01	4.3455E+01
9.3170E-01	1.1793E-15	9.3170E-01	4.2112E+01
9.3757E-01	1.1444E-15	9.3757E-01	4.0866E+01
9.4345E-01	1.1126E-15	9.4345E-01	3.9732E+01
9.4935E-01	1.0842E-15	9.4935E-01	3.8717E+01
9.5525E-01	1.0591E-15	9.5525E-01	3.7820E+01
9.6116E-01	1.0370E-15	9.6116E-01	3.7033E+01
9.6708E-01	1.0176E-15	9.6708E-01	3.6340E+01
9.7302E-01	1.0003E-15	9.7302E-01	3.5721E+01
9.7896E-01	9.8434E-16	9.7896E-01	3.5151E+01
9.8491E-01	9.6906E-16	9.8491E-01	3.4606E+01
9.9088E-01	9.5381E-16	9.9088E-01	3.4061E+01
9.9685E-01	9.3805E-16	9.9685E-01	3.3498E+01
1.0028E+00	9.2145E-16	1.0028E+00	3.2906E+01
1.0088E+00	9.0381E-16	1.0088E+00	3.2276E+01
1.0148E+00	8.8513E-16	1.0148E+00	3.1609E+01
1.0208E+00	8.6550E-16	1.0208E+00	3.0908E+01
1.0269E+00	8.4511E-16	1.0269E+00	3.0180E+01
1.0329E+00	8.2424E-16	1.0329E+00	2.9434E+01
1.0389E+00	8.0321E-16	1.0389E+00	2.8683E+01
1.0450E+00	7.8243E-16	1.0450E+00	2.7941E+01
1.0510E+00	7.6237E-16	1.0510E+00	2.7225E+01
1.0571E+00	7.4352E-16	1.0571E+00	2.6552E+01
1.0632E+00	7.2638E-16	1.0632E+00	2.5939E+01
1.0692E+00	7.1130E-16	1.0692E+00	2.5401E+01
1.0753E+00	6.9853E-16	1.0753E+00	2.4945E+01
1.0814E+00	6.8808E-16	1.0814E+00	2.4572E+01
1.0875E+00	6.7982E-16	1.0875E+00	2.4277E+01
1.0937E+00	6.7345E-16	1.0937E+00	2.4049E+01
1.0998E+00	6.6863E-16	1.0998E+00	2.3877E+01
1.1059E+00	6.6503E-16	1.1059E+00	2.3749E+01
1.1120E+00	6.6239E-16	1.1120E+00	2.3654E+01
1.1182E+00	6.6049E-16	1.1182E+00	2.3587E+01
1.1243E+00	6.5920E-16	1.1243E+00	2.3541E+01
1.1305E+00	6.5838E-16	1.1305E+00	2.3511E+01
1.1367E+00	6.5787E-16	1.1367E+00	2.3493E+01
1.1428E+00	6.5753E-16	1.1428E+00	2.3481E+01
1.1490E+00	6.5725E-16	1.1490E+00	2.3471E+01
1.1552E+00	6.5699E-16	1.1552E+00	2.3462E+01
1.1614E+00	6.5684E-16	1.1614E+00	2.3456E+01
1.1676E+00	6.5705E-16	1.1676E+00	2.3464E+01
1.1738E+00	6.5796E-16	1.1738E+00	2.3496E+01
1.1800E+00	6.5999E-16	1.1800E+00	2.3569E+01
1.1863E+00	6.6351E-16	1.1863E+00	2.3694E+01
1.1925E+00	6.6880E-16	1.1925E+00	2.3883E+01
1.1987E+00	6.7597E-16	1.1987E+00	2.4139E+01
1.2050E+00	6.8498E-16	1.2050E+00	2.4461E+01
1.2112E+00	6.9562E-16	1.2112E+00	2.4841E+01
1.2175E+00	7.0761E-16	1.2175E+00	2.5269E+01
1.2237E+00	7.2064E-16	1.2237E+00	2.5735E+01
1.2300E+00	7.3436E-16	1.2300E+00	2.6224E+01
1.2363E+00	7.4841E-16	1.2363E+00	2.6726E+01
1.2425E+00	7.6239E-16	1.2425E+00	2.7226E+01
1.2488E+00	7.7587E-16	1.2488E+00	2.7707E+01
1.2551E+00	7.8835E-16	1.2551E+00	2.8153E+01
1.2614E+00	7.9932E-16	1.2614E+00	2.8544E+01
1.2677E+00	8.0828E-16	1.2677E+00	2.8864E+01
1.2740E+00	8.1482E-16	1.2740E+00	2.9098E+01
1.2803E+00	8.1866E-16	1.2803E+00	2.9235E+01
1.2866E+00	8.1971E-16	1.2866E+00	2.9272E+01
1.2929E+00	8.1801E-16	1.2929E+00	2.9212E+01
1.2993E+00	8.1376E-16	1.2993E+00	2.9060E+01
1.3056E+00	8.0721E-16	1.3056E+00	2.8826E+01
1.3119E+00	7.9867E-16	1.3119E+00	2.8521E+01
1.3182E+00	7.8842E-16	1.3182E+00	2.8155E+01
1.3246E+00	7.7672E-16	1.3246E+00	2.7737E+01
1.3309E+00	7.6380E-16	1.3309E+00	2.7276E+01
1.3373E+00	7.4989E-16	1.3373E+00	2.6779E+01
1.3436E+00	7.3519E-16	1.3436E+00	2.6254E+01
1.3500E+00	7.1994E-16	1.3500E+00	2.5709E+01
1.3563E+00	7.0435E-16	1.3563E+00	2.5153E+01
1.3627E+00	6.8866E-16	1.3627E+00	2.4593E+01
1.3691E+00	6.7304E-16	1.3691E+00	2.4035E+01
1.3755E+00	6.5764E-16	1.3755E+00	2.3485E+01
1.3818E+00	6.4255E-16	1.3818E+00	2.2946E+01
1.3882E+00	6.2779E-16	1.3882E+00	2.2419E+01
1.3946E+00	6.1337E-16	1.3946E+00	2.1904E+01
1.4010E+00	5.9925E-16	1.4010E+00	2.1400E+01
1.4074E+00	5.8537E-16	1.4074E+00	2.0904E+01
1.4137E+00	5.7170E-16	1.4137E+00	2.0416E+01
1.4201E+00	5.5819E-16	1.4201E+00	1.9933E+01
1.4265E+00	5.4482E-16	1.4265E+00	1.9456E+01
1.4329E+00	5.3159E-16	1.4329E+00	1.8983E+01
1.4393E+00	5.1852E-16	1.4393E+00	1.8517E+01
1.4457E+00	5.0564E-16	1.4457E+00	1.8057E+01
1.4521E+00	4.9296E-16	1.4521E+00	1.7604E+01
1.4585E+00	4.8051E-16	1.4585E+00	1.7160E+01
1.4649E+00	4.6834E-16	1.4649E+00	1.6725E+01
1.4713E+00	4.5647E-16	1.4713E+00	1.6301E+01
1.4777E+00	4.4493E-16	1.4777E+00	1.5889E+01
1.4842E+00	4.3377E-16	1.4842E+00	1.5490E+01
1.4906E+00	4.2304E-16	1.4906E+00	1.5107E+01
1.4970E+00	4.1278E-16	1.4970E+00	1.4741E+01
1.5034E+00	4.0303E-16	1.5034E+00	1.4393E+01
1.5098E+00	3.9381E-16	1.5098E+00	1.4063E+01
1.5162E+00	3.8508E-16	1.5162E+00	1.3752E+01
1.5226E+00	3.7680E-16	1.5226E+00	1.3456E+01
1.5291E+00	3.6889E-16	1.5291E+00	1.3173E+01
1.5355E+00	3.6128E-16	1.5355E+00	1.2902E+01
1.5419E+00	3.5389E-16	1.5419E+00	1.2638E+01
1.5483E+00	3.4671E-16	1.5483E+00	1.2381E+01
1.5547E+00	3.3973E-16	1.5547E+00	1.2132E+01
1.5612E+00	3.3298E-16	1.5612E+00	1.1891E+01
1.5676E+00	3.2654E-16	1.5676E+00	1.1661E+01
1.5740E+00	3.2045E-16	1.5740E+00	1.1443E+01
1.5804E+00	3.1473E-16	1.5804E+00	1.1239E+01
1.5869E+00	3.0938E-16	1.5869E+00	1.1048E+01
1.5933E+00	3.0439E-16	1.5933E+00	1.0870E+01
1.5997E+00	2.9970E-16	1.5997E+00	1.0703E+01
1.6061E+00	2.9530E-16	1.6061E+00	1.0545E+01
1.6125E+00	2.9118E-16	1.6125E+00	1.0398E+01
1.6189E+00	2.8739E-16	1.6189E+00	1.0263E+01
1.6254E+00	2.8398E-16	1.6254E+00	1.0141E+01
1.6318E+00	2.8101E-16	1.6318E+00	1.0035E+01
1.6382E+00	2.7853E-16	1.6382E+00	9.9464E+00
1.6446E+00	2.7656E-16	1.6446E+00	9.8761E+00
1.6510E+00	2.7508E-16	1.6510E+00	9.8232E+00
1.6574E+00	2.7402E-16	1.6574E+00	9.7855E+00
1.6639E+00	2.7331E-16	1.6639E+00	9.7602E+00
1.6703E+00	2.7288E-16	1.6703E+00	9.7447E+00
1.6767E+00	2.7266E-16	1.6767E+00	9.7368E+00
1.6831E+00	2.7261E-16	1.6831E+00	9.7351E+00
1.6895E+00	2.7272E-16	1.6895E+00	9.7389E+00
1.6959E+00	2.7296E-16	1.6959E+00	9.7477E+00
1.7023E+00	2.7332E-16	1.7023E+00	9.7605E+00
1.7087E+00	2.7375E-16	1.7087E+00	9.7758E+00
1.7151E+00	2.7419E-16	1.7151E+00	9.7914E+00
1.7215E+00	2.7456E-16	1.7215E+00	9.8047E+00
1.7279E+00	2.7480E-16	1.7279E+00	9.8132E+00
1.7342E+00	2.7486E-16	1.7342E+00	9.8155E+00
1.7406E+00	2.7473E-16	1.7406E+00	9.8109E+00
1.7470E+00	2.7443E-16	1.7470E+00	9.8001E+00
1.7534E+00	2.7400E-16	1.7534E+00	9.7847E+00
1.7598E+00	2.7349E-16	1.7598E+00	9.7663E+00
1.7661E+00	2.7292E-16	1.7661E+00	9.7462E+00
1.7725E+00	2.7233E-16	1.7725E+00	9.7249E+00
1.7789E+00	2.7169E-16	1.7789E+00	9.7021E+00
1.7852E+00	2.7098E-16	1.7852E+00	9.6768E+00
1.7916E+00	2.7018E-16	1.7916E+00	9.6482E+00
1.7980E+00	2.6927E-16	1.7980E+00	9.6159E+00
1.8043E+00	2.6828E-16	1.8043E+00	9.5804E+00
1.8106E+00	2.6723E-16	1.8106E+00	9.5428E+00
1.8170E+00	2.6617E-16	1.8170E+00	9.5050E+00
1.8233E+00	2.6516E-16	1.8233E+00	9.4689E+00
1.8297E+00	2.6423E-16	1.8297E+00	9.4358E+00
1.8360E+00	2.6340E-16	1.8360E+00	9.4061E+00
1.8423E+00	2.6264E-16	1.8423E+00	9.3790E+00
1.8487E+00	2.6191E-16	1.8487E+00	9.3531E+00
1.8550E+00	2.6117E-16	1.8550E+00	9.3265E+00
1.8613E+00	2.6036E-16	1.8613E+00	9.2976E+00
1.8676E+00	2.5945E-16	1.8676E+00	9.2652E+00
1.8739E+00	2.5844E-16	1.8739E+00	9.2291E+00
1.8802E+00	2.5734E-16	1.8802E+00	9.1898E+00
1.8865E+00	2.5618E-16	1.8865E+00	9.1482E+00
1.8928E+00	2.5497E-16	1.8928E+00	9.1051E+00
1.8991E+00	2.5373E-16	1.8991E+00	9.0610E+00
1.9053E+00	2.5247E-16	1.9053E+00	9.0158E+00
1.9116E+00	2.5114E-16	1.9116E+00	8.9685E+00
1.9179E+00	2.4973E-16	1.9179E+00	8.9181E+00
1.9241E+00	2.4820E-16	1.9241E+00	8.8633E+00
1.9304E+00	2.4651E-16	1.9304E+00	8.8032E+00
1.9366E+00	2.4468E-16	1.9366E+00	8.7376E+00
1.9429E+00	2.4270E-16	1.9429E+00	8.6669E+00
1.9491E+00	2.4061E-16	1.9491E+00	8.5922E+00
1.9553E+00	2.3844E-16	1.9553E+00	8.5147E+00
1.9616E+00	2.3622E-16	1.9616E+00	8.4356E+00
1.9678E+00	2.3398E-16	1.9678E+00	8.3555E+00
1.9740E+00	2.3172E-16	1.9740E+00	8.2748E+00
1.9802E+00	2.2944E-16	1.9802E+00	8.1933E+00
1.9864E+00	2.2712E-16	1.9864E+00	8.1105E+00
1.9926E+00	2.2475E-16	1.9926E+00	8.0259E+00
1.9988E+00	2.2232E-16	1.9988E+00	7.9393E+00
2.0049E+00	2.1985E-16	2.0049E+00	7.8509E+00
2.0111E+00	2.1734E-16	2.0111E+00	7.7613E+00
2.0173E+00	2.1483E-16	2.0173E+00	7.6716E+00
2.0234E+00	2.1234E-16	2.0234E+00	7.5828E+00
2.0296E+00	2.0990E-16	2.0296E+00	7.4958E+00
2.0357E+00	2.0753E-16	2.0357E+00	7.4109E+00
2.0418E+00	2.0521E-16	2.0418E+00	7.3282E+00
2.0480E+00	2.0294E-16	2.0480E+00	7.2472E+00
2.0541E+00	2.0071E-16	2.0541E+00	7.1674E+00
2.0602E+00	1.9849E-16	2.0602E+00	7.0881E+00
2.0663E+00	1.9626E-16	2.0663E+00	7.0087E+00
2.0724E+00	1.9404E-16	2.0724E+00	6.9293E+00
2.0784E+00	1.9182E-16	2.0784E+00	6.8500E+00
2.0845E+00	1.8962E-16	2.0845E+00	6.7713E+00
2.0906E+00	1.8745E-16	2.0906E+00	6.6941E+00
2.0966E+00	1.8535E-16	2.0966E+00	6.6189E+00
2.1027E+00	1.8331E-16	2.1027E+00	6.5460E+00
2.1087E+00	1.8133E-16	2.1087E+00	6.4755E+00
2.1147E+00	1.7942E-16	2.1147E+00	6.4071E+00
2.1208E+00	1.7755E-16	2.1208E+00	6.3404E+00
2.1268E+00	1.7571E-16	2.1268E+00	6.2748E+00
2.1328E+00	1.7390E-16	2.1328E+00	6.2100E+00
2.1388E+00	1.7211E-16	2.1388E+00	6.1460E+00
2.1447E+00	1.7034E-16	2.1447E+00	6.0828E+00
2.1507E+00	1.6860E-16	2.1507E+00	6.0209E+00
2.1567E+00	1.6692E-16	2.1567E+00	5.9607E+00
2.1626E+00	1.6529E-16	2.1626E+00	5.9024E+00
2.1686E+00	1.6372E-16	2.1686E+00	5.8464E+00
2.1745E+00	1.6221E-16	2.1745E+00	5.7926E+00
2.1804E+00	1.6075E-16	2.1804E+00	5.7405E+00
2.1863E+00	1.5933E-16	2.1863E+00	5.6899E+00
2.1923E+00	1.5794E-16	2.1923E+00	5.6402E+00
2.1981E+00	1.5656E-16	2.1981E+00	5.5910E+00
2.2040E+00	1.5520E-16	2.2040E+00	5.5423E+00
2.2099E+00	1.5386E-16	2.2099E+00	5.4943E+00
2.2157E+00	1.5253E-16	2.2157E+00	5.4471E+00
2.2216E+00	1.5125E-16	2.2216E+00	5.4011E+00
2.2274E+00	1.5000E-16	2.2274E+00	5.3564E+00
2.2333E+00	1.4879E-16	2.2333E+00	5.3132E+00
2.2391E+00	1.4761E-16	2.2391E+00	5.2711E+00
2.2449E+00	1.4645E-16	2.2449E+00	5.2297E+00
2.2507E+00	1.4529E-16	2.2507E+00	5.1883E+00
2.2565E+00	1.4411E-16	2.2565E+00	5.1463E+00
2.2622E+00	1.4291E-16	2.2622E+00	5.1033E+00
2.2680E+00	1.4167E-16	2.2680E+00	5.0590E+00
2.2738E+00	1.4039E-16	2.2738E+00	5.0136E+00
2.2795E+00	1.3910E-16	2.2795E+00	4.9674E+00
2.2852E+00	1.3780E-16	2.2852E+00	4.9209E+00
2.2909E+00	1.3650E-16	2.2909E+00	4.8746E+00
2.2966E+00	1.3522E-16	2.2966E+00	4.8289E+00
2.3023E+00	1.3396E-16	2.3023E+00	4.7839E+00
2.3080E+00	1.3272E-16	2.3080E+00	4.7394E+00
2.3136E+00	1.3147E-16	2.3136E+00	4.6950E+00
2.3193E+00	1.3022E-16	2.3193E+00	4.6501E+00
2.3249E+00	1.2893E-16	2.3249E+00	4.6044E+00
2.3306E+00	1.2762E-16	2.3306E+00	4.5573E+00
2.3362E+00	1.2626E-16	2.3362E+00	4.5089E+00
2.3418E+00	1.2488E-16	2.3418E+00	4.4596E+00
2.3474E+00	1.2349E-16	2.3474E+00	4.4098E+00
2.3529E+00	1.2210E-16	2.3529E+00	4.3604E+00
2.3585E+00	1.2075E-16	2.3585E+00	4.3121E+00
2.3641E+00	1.1945E-16	2.3641E+00	4.2656E+00
2.3696E+00	1.1821E-16	2.3696E+00	4.2214E+00
2.3751E+00	1.1704E-16	2.3751E+00	4.1794E+00
2.3806E+00	1.1592E-16	2.3806E+00	4.1396E+00
2.3861E+00	1.1485E-16	2.3861E+00	4.1014E+00
2.3916E+00	1.1381E-16	2.3916E+00	4.0643E+00
2.3971E+00	1.1279E-16	2.3971E+00	4.0279E+00
2.4025E+00	1.1178E-16	2.4025E+00	3.9918E+00
2.4080E+00	1.1078E-16	2.4080E+00	3.9559E+00
2.4134E+00	1.0978E-16	2.4134E+00	3.9203E+00
2.4188E+00	1.0881E-16	2.4188E+00	3.8856E+00
2.4242E+00	1.0787E-16	2.4242E+00	3.8521E+00
2.4296E+00	1.0698E-16	2.4296E+00	3.8203E+00
2.4350E+00	1.0615E-16	2.4350E+00	3.7907E+00
2.4403E+00	1.0538E-16	2.4403E+00	3.7633E+00
2.4457E+00	1.0467E-16	2.4457E+00	3.7380E+00
2.4510E+00	1.0401E-16	2.4510E+00	3.7144E+00
2.4563E+00	1.0338E-16	2.4563E+00	3.6919E+00
2.4616E+00	1.0277E-16	2.4616E+00	3.6700E+00
2.4669E+00	1.0215E-16	2.4669E+00	3.6479E+00
2.4721E+00	1.0151E-16	2.4721E+00	3.6251E+00
2.4774E+00	1.0085E-16	2.4774E+00	3.6013E+00
